antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
tier=Weak,dual_type=No,0.2119700748129676,0.4472152950955943,0.11471321695760599,0.5411764705882353,1.2101027771703476,0.019916957398689483,1.204787177355756,0.22032654558796555
"dual_type=No, gen=Early(1-3), legendary=No",tier=Average,0.17871986699916875,0.3117206982543641,0.06733167082294264,0.3767441860465116,1.2085953488372092,0.011620989090034672,1.104328730412774,0.21015144699355212
"legendary=No, type1=Water",dual_type=No,0.11388196176226101,0.4472152950955943,0.06151288445552785,0.5401459854014599,1.2077985509999187,0.010583129319953102,1.2020873741571996,0.1941585112316821
"dual_type=No, tier=Average","gen=Early(1-3), legendary=No",0.14962593516209477,0.37323358270989193,0.06733167082294264,0.44999999999999996,1.2056792873051223,0.011486246976076017,1.1395753041638328,0.20060823286629734
"legendary=No, tier=Weak",dual_type=No,0.21030756442227763,0.4472152950955943,0.11305070656691604,0.5375494071146245,1.2019924475072365,0.018997947082971436,1.195337866160809,0.21280185758513936
type1=Water,dual_type=No,0.12219451371571072,0.4472152950955943,0.0656691604322527,0.5374149659863945,1.201691829148016,0.011021904921818482,1.1949904650139356,0.1912039700805524
"legendary=No, tier=VeryWeak",gen=Early(1-3),0.12635078969243557,0.4014962593516209,0.060681629260182876,0.48026315789473684,1.1961833932657733,0.009952259832546655,1.1515515009943496,0.1877272786517734
"gen=Early(1-3), legendary=No",tier=Average,0.37323358270989193,0.3117206982543641,0.13881961762261014,0.37193763919821826,1.1931759465478842,0.02247498460830466,1.095877327956704,0.2583109642783397
tier=Average,"gen=Early(1-3), legendary=No",0.3117206982543641,0.37323358270989193,0.13881961762261014,0.4453333333333333,1.1931759465478842,0.02247498460830466,1.12998753117207,0.23522520177037215
tier=VeryWeak,gen=Early(1-3),0.12718204488778054,0.4014962593516209,0.060681629260182876,0.477124183006536,1.188365201152925,0.00961851398104905,1.1446384039900253,0.18160469667319
"gen=Early(1-3), tier=Average","dual_type=No, legendary=No",0.13881961762261014,0.40980881130507063,0.06733167082294264,0.48502994011976047,1.1835517605762107,0.010442168339196346,1.146068936186665,0.18008484675151348
"dual_type=Yes, tier=Average","gen=Early(1-3), legendary=No",0.16209476309226933,0.37323358270989193,0.0714879467996675,0.441025641025641,1.1816344012335103,0.01098873763222865,1.121279370381386,0.18345099667774079
"dual_type=Yes, gen=Early(1-3), legendary=No",tier=Average,0.19451371571072318,0.3117206982543641,0.0714879467996675,0.36752136752136755,1.179008547008547,0.010853995518269995,1.0882253824897217,0.18849449204406366
tier=Strong,"dual_type=Yes, legendary=No",0.24771404821280132,0.4771404821280133,0.13881961762261014,0.5604026845637584,1.1745024904707342,0.020625217228472187,1.1894056208080308,0.19749892480232906
tier=Average,"dual_type=No, legendary=No",0.3117206982543641,0.40980881130507063,0.1479634247714048,0.4746666666666666,1.15826369168357,0.02021753596059725,1.1234603845715658,0.19852222765021973
"dual_type=No, legendary=No",tier=Average,0.40980881130507063,0.3117206982543641,0.1479634247714048,0.36105476673427994,1.15826369168357,0.02021753596059725,1.0772117325733286,0.23151606266814356
type1=Grass,"dual_type=Yes, legendary=No",0.09476309226932668,0.4771404821280133,0.051537822111388194,0.543859649122807,1.1398312855309005,0.006322514578060254,1.1462689430270478,0.13551941704434375
tier=Weak,"gen=Early(1-3), legendary=No",0.2119700748129676,0.37323358270989193,0.08977556109725686,0.4235294117647059,1.134756976287174,0.010661210647529146,1.0872478667277385,0.15069737458977972
"dual_type=No, gen=Early(1-3)","legendary=No, tier=Average",0.19201995012468828,0.3092269326683292,0.06733167082294264,0.35064935064935066,1.1339547549224969,0.007953930634759729,1.063790523690773,0.14620484682213067
"dual_type=No, legendary=No, tier=Average",gen=Early(1-3),0.1479634247714048,0.4014962593516209,0.06733167082294264,0.4550561797752809,1.1334007955893644,0.007924909256368642,1.0982852147980564,0.13813911472448065
"gen=Early(1-3), tier=VeryWeak",legendary=No,0.060681629260182876,0.8869492934330839,0.060681629260182876,1.0,1.127460168697282,0.0068601010634953205,inf,0.12035398230088494
"gen=Early(1-3), tier=Average",legendary=No,0.13881961762261014,0.8869492934330839,0.13881961762261014,1.0,1.127460168697282,0.015693655857585184,inf,0.1312741312741313
"dual_type=Yes, gen=Early(1-3), tier=Average",legendary=No,0.0714879467996675,0.8869492934330839,0.0714879467996675,1.0,1.127460168697282,0.008081762896720524,inf,0.12175470008952566
"dual_type=Yes, tier=Weak",legendary=No,0.09725685785536159,0.8869492934330839,0.09725685785536159,1.0,1.127460168697282,0.01099495649902675,inf,0.12523020257826892
"gen=Early(1-3), tier=Weak",legendary=No,0.08977556109725686,0.8869492934330839,0.08977556109725686,1.0,1.127460168697282,0.010149190614486228,inf,0.12420091324200913
"dual_type=No, gen=Early(1-3), tier=Average",legendary=No,0.06733167082294264,0.8869492934330839,0.06733167082294264,1.0,1.127460168697282,0.007611892960864675,inf,0.12121212121212127
"gen=Mid(4-6), tier=Weak",legendary=No,0.0831255195344971,0.8869492934330839,0.0831255195344971,1.0,1.127460168697282,0.009397398717116881,inf,0.12330009066183141
"dual_type=No, gen=Early(1-3)",tier=Average,0.19201995012468828,0.3117206982543641,0.06733167082294264,0.35064935064935066,1.1248831168831168,0.007475077891306643,1.0599501246882792,0.1374028349336991
"dual_type=Yes, tier=Average",legendary=No,0.16209476309226933,0.8869492934330839,0.16126350789692437,0.9948717948717949,1.1216783216783217,0.017493672303032948,22.044887780548713,0.12946428571428575
"dual_type=No, tier=Average",gen=Early(1-3),0.14962593516209477,0.4014962593516209,0.06733167082294264,0.44999999999999996,1.120807453416149,0.007257417553373426,1.0881886193606891,0.12675138481590098
tier=VeryWeak,legendary=No,0.12718204488778054,0.8869492934330839,0.12635078969243557,0.9934640522875817,1.1200911479868425,0.013546764841843861,17.29675810473822,0.12283834586466173
tier=Weak,legendary=No,0.2119700748129676,0.8869492934330839,0.21030756442227763,0.992156862745098,1.1186173438447544,0.022300856337958086,14.413965087281646,0.13456246560264165
tier=Average,legendary=No,0.3117206982543641,0.8869492934330839,0.3092269326683292,0.992,1.1184404873477038,0.032746479603153356,14.131338320864495,0.15385889044724937
legendary=No,tier=Average,0.8869492934330839,0.3117206982543641,0.3092269326683292,0.3486410496719775,1.1184404873477038,0.032746479603153356,1.0566820359174007,0.9367291271347239
gen=Early(1-3),"legendary=No, tier=Average",0.4014962593516209,0.3092269326683292,0.13881961762261014,0.34575569358178054,1.1181292994055967,0.014666160865500419,1.0558335174721423,0.1765219560878243
"legendary=No, tier=Average",gen=Early(1-3),0.3092269326683292,0.4014962593516209,0.13881961762261014,0.4489247311827957,1.1181292994055967,0.014666160865500419,1.086065324493644,0.15294321105082254
"dual_type=No, tier=VeryWeak",legendary=No,0.07896924355777224,0.8869492934330839,0.07813798836242726,0.9894736842105262,1.1155921669215212,0.008096273585916053,10.73981712385688,0.11249903986481283
"gen=Recent(7-9), tier=Average",legendary=No,0.07813798836242726,0.8869492934330839,0.0773067331670823,0.9893617021276596,1.1154659115834813,0.008002299598744905,10.62676641729015,0.11228753987414812
"dual_type=No, tier=Average",legendary=No,0.14962593516209477,0.8869492934330839,0.1479634247714048,0.9888888888888888,1.1149328334895345,0.015252807300120436,10.17456359102238,0.12122310455039703
"dual_type=No, tier=Weak",legendary=No,0.11471321695760599,0.8869492934330839,0.11305070656691604,0.9855072463768115,1.111120166252394,0.01130589983893135,7.800498753117174,0.11296603148301573
tier=Average,gen=Early(1-3),0.3117206982543641,0.4014962593516209,0.13881961762261014,0.4453333333333333,1.109184265010352,0.013664923311007604,1.0790331862651066,0.14301831120367964
gen=Early(1-3),tier=Average,0.4014962593516209,0.3117206982543641,0.13881961762261014,0.34575569358178054,1.1091842650103518,0.013664923311007604,1.0520218441238673,0.16447105788423158
"gen=Mid(4-6), tier=Average",legendary=No,0.09476309226932668,0.8869492934330839,0.09310058187863675,0.9824561403508774,1.107680165737681,0.009050524146823308,6.443890274314278,0.1073888232979143
"dual_type=Yes, legendary=No, tier=Average",gen=Early(1-3),0.16126350789692437,0.4014962593516209,0.0714879467996675,0.4432989690721649,1.1041173080617275,0.0067412516091317765,1.0750900526461624,0.11242999055016467
"dual_type=Yes, gen=Early(1-3)","legendary=No, tier=Average",0.20947630922693267,0.3092269326683292,0.0714879467996675,0.3412698412698413,1.1036226318484383,0.00671223023074069,1.0486434516119338,0.1187733841977845
